vanityname,designid,revision,modulename,redirectsource,productid
,10,1.1,JacdacButton,aka.ms,0x35b66a3f
,10,1.2,JacdacButton,aka.ms,0x3cafeda1
,44,0.1,JacdacJoystick,aka.ms,0x35f197e0
,46,1.0,JacdacKeyboardKey,aka.ms,0x3f9ca24e
,46,1.1,JacdacKeyboardKey,aka.ms,0x3a3320ac
,46,1.2,JacdacKeyboardKey,aka.ms,0x343f5bee
,42,0.1,JacdacSingleRgbLed,aka.ms,0x36b4f47c
,62,0.1,JacdacTBlockButton,aka.ms,0x3e700a4b
,34,1.0,JacdacXACInput,aka.ms,0x362fe800
,34,1.0,JacdacXACInput,aka.ms,0x3a812e4f
,,1.0,JacdacRelay,aka.ms,0x35a6ed1c
,40,0.1,JacdacG0Button,aka.ms,0x34b659d1
,,1.0,JacdacFlexSensor,aka.ms,0x321e3946
,37,2.0,JacdacRgbLedRing8,aka.ms,0x352f5acf
,26,1.0,JacdacRotary,aka.ms,0x3f2ca0ed
,18,1.0,Temperature and humidity,aka.ms,0x359c67b8
,45,0.2,JacdacPinHeader,aka.ms,0x39df5bf6
,38,1.0,JacdacCableExtender,aka.ms,0x37593cd9
,35,1.0,JacdacTouchTest,aka.ms,0x37a6cb28
,36,1.0,JacdacTouchTestElectrode,aka.ms,0x3d2a6127
aaaaaa,30,1.0,accelerometer,aka.ms,0x38c5de8f
aaaaab,39,1.1,hub,aka.ms,0x36abd44c 
aaaaac,37,2.1,RGB LED 8 ring,aka.ms,0x3027f977
aaaaad,29,0.3,Low power micro:bit jacdapter,aka.ms,0x3c2d966a
aaaaae,10,1.3,PADAUK Button,aka.ms,0x357084e1
aaaaaf,49,1.0,Slider,aka.ms,0x3a78f364
aaaaag,18,1.1,Temperature and humidity,aka.ms,0x3156cfd7
aaaaah,26,1.1,JacdacRotary,aka.ms,0x31736afd
aaaaai,23,1.1,JacdacServoDual,aka.ms,0x3daf1cf6
aaaaaj,48,0.2,JacdacIoT,aka.ms,0x3fb3a6ba
aaaaak,50,0.1,JacdacPower,aka.ms,0x3592dcb4
aaaaal,34,1.3,JacdacAccessSwitchInput,aka.ms,0x39842fd9
aaaaam,44,0.2,JacdacJoystick,aka.ms,0x3a3320ac
aaaaan,40,0.2,JacdacG0Button,aka.ms,0x3865780e
aaaaao,49,1.1,Slider,aka.ms,0x399a7233
aaaaap,41,0.2,JacdacBrainF4 ,aka.ms,0x3bcbc488
aaaaaq,53,0.1,MikrobusCarrierBoard,aka.ms,0x3953bdb0 
aaaaar,54,0.1,JacdacMotionDetection,aka.ms,0x3d6ac505
aaaaas,55,0.1,JacdacAmbientLight,aka.ms,0x357512db
aaaaat,58,0.1,JacdacRgbLedBar10,aka.ms,0x3e60b6fb
aaaaau,48,0.3,JacdacBrainESP32,aka.ms,0x36abd44c
aaaaav,61,3.4,JM-mikroBUS,aka.ms,0x32b36f38
aaaaaw,60,0.1,JacdacRgbLedGeneric,aka.ms,0x39ae4b81
aaaaax,44,0.3,JacdacJoystick,aka.ms,0x319baa63
aaaaay,59,0.1,JacdacBrainRP2040,aka.ms,0x3308bb88
aaaaaz,29,0.4,JacDacMicroBitShieldLP,aka.ms,0x3a0e8a03
